"customer_id","churn_probability","tenure_in_months","monthly_charge","contract","internet_type","online_security","premium_tech_support"
"0031-PVLZI",0.616666666666667,25,25.3,"One Year","No Internet Service","No Internet Service","No Internet Service"
"0032-PGELS",0.726666666666667,15,105.1,"Month-to-Month","Fiber Optic","Yes","Yes"
"0036-IHMOT",0.94,4,84.8,"Month-to-Month","Fiber Optic","No","No"
"0040-HALCW",0.85,2,85.85,"Month-to-Month","Fiber Optic","No","No"
"0042-JVWOJ",0.786666666666667,5,47.15,"Month-to-Month","Cable","No","No"
"0042-RLHYP",0.806666666666667,3,84.3,"Month-to-Month","Fiber Optic","No","No"
"0048-LUMLS",0.89,1,75.9,"Month-to-Month","Fiber Optic","No","Yes"
"0048-PIHNL",0.92,1,85.55,"Month-to-Month","Fiber Optic","No","No"
"0052-DCKON",0.776666666666667,15,93.35,"Month-to-Month","Fiber Optic","No","No"
"0052-YNYOT",0.706666666666667,28,81.05,"Month-to-Month","Fiber Optic","No","No"
"0056-EPFBG",0.713333333333333,27,75.2,"Month-to-Month","Cable","Yes","No"
"0057-QBUQH",0.833333333333333,2,85.65,"Month-to-Month","Cable","No","No"
"0058-EVZWM",0.983333333333333,32,74.9,"Month-to-Month","Fiber Optic","No","No"
"0060-FUALY",0.696666666666667,49,103.7,"Month-to-Month","Fiber Optic","No","No"
"0064-SUDOG",0.916666666666667,8,101.15,"Month-to-Month","Fiber Optic","No","No"
"0064-YIJGF",0.616666666666667,61,99.15,"Month-to-Month","Fiber Optic","No","No"
"0067-DKWBL",0.73,26,88.8,"Month-to-Month","Fiber Optic","No","No"
"0068-FIGTF",0.836666666666667,1,80.55,"Month-to-Month","Fiber Optic","No","No"
"0071-NDAFP",0.856666666666667,2,45.35,"Month-to-Month","DSL","No","No"
"0074-HDKDG",0.92,68,100.2,"Month-to-Month","Cable","No","No"
"0076-LVEPS",0.916666666666667,8,94.7,"Month-to-Month","Fiber Optic","No","No"
"0078-XZMHT",0.93,1,70.1,"Month-to-Month","Fiber Optic","No","No"
"0080-EMYVY",0.913333333333333,3,97.9,"Month-to-Month","Fiber Optic","No","Yes"
"0080-OROZO",0.78,5,69.95,"Month-to-Month","Fiber Optic","No","No"
"0082-LDZUE",0.986666666666667,3,81.35,"Month-to-Month","Fiber Optic","No","No"
"0082-OQIQY",0.773333333333333,41,106.3,"Month-to-Month","Fiber Optic","No","No"
"0083-PIVIK",0.673333333333333,6,89.3,"Month-to-Month","Fiber Optic","No","No"
"0089-IIQKO",0.676666666666667,58,102.1,"Month-to-Month","Fiber Optic","No","Yes"
"0093-EXYQL",0.89,31,98.9,"Month-to-Month","Fiber Optic","No","Yes"
"0093-XWZFY",0.786666666666667,36,84.9,"Month-to-Month","Fiber Optic","No","No"
"0094-OIFMO",0.873333333333333,1,34.7,"Month-to-Month","DSL","No","No"
"0096-BXERS",0.8,23,90.6,"Month-to-Month","Cable","No","Yes"
"0096-FCPUF",0.79,17,88.25,"Month-to-Month","Fiber Optic","No","No"
"0098-BOWSO",0.846666666666667,3,85.8,"Month-to-Month","Fiber Optic","No","Yes"
"0100-DUVFC",0.796666666666667,2,74.4,"Month-to-Month","Fiber Optic","Yes","No"
"0103-CSITQ",0.683333333333333,1,70.45,"Month-to-Month","Fiber Optic","No","No"
"0104-PPXDV",0.876666666666667,59,93.85,"Month-to-Month","Fiber Optic","No","No"
"0106-GHRQR",0.63,37,101.9,"Month-to-Month","Fiber Optic","No","No"
"0106-UGRDO",0.773333333333333,3,74.4,"Month-to-Month","Fiber Optic","No","No"
"0107-WESLM",0.696666666666667,54,101.5,"One Year","Fiber Optic","No","No"
"0107-YHINA",0.763333333333333,60,95.75,"Month-to-Month","Fiber Optic","No","No"
"0111-KLBQG",0.806666666666667,1,44.4,"Month-to-Month","DSL","No","No"
"0112-QAWRZ",0.693333333333333,28,90.1,"One Year","Fiber Optic","No","No"
"0112-QWPNC",0.73,48,45.3,"Month-to-Month","Cable","Yes","No"
"0114-IGABW",0.783333333333333,23,83.8,"Month-to-Month","Fiber Optic","No","Yes"
"0114-PEGZZ",0.746666666666667,19,96.8,"Month-to-Month","Fiber Optic","No","No"
"0114-RSRRW",0.643333333333333,55,96.75,"Month-to-Month","Fiber Optic","Yes","No"
"0115-TFERT",0.99,1,69.5,"Month-to-Month","Fiber Optic","No","No"
"0117-LFRMW",0.986666666666667,1,79.7,"Month-to-Month","Fiber Optic","No","No"
"0118-JPNOY",0.866666666666667,5,-1,"Month-to-Month","Fiber Optic","No","No"
"0121-SNYRK",0.85,27,88.3,"Month-to-Month","Fiber Optic","No","No"
"0122-OAHPZ",0.943333333333333,5,75.55,"Month-to-Month","Fiber Optic","No","No"
"0123-CRBRT",0.926666666666667,1,71.1,"Month-to-Month","Fiber Optic","No","No"
"0125-LZQXK",0.876666666666667,1,70.45,"Month-to-Month","Fiber Optic","No","No"
"0128-MKWSG",0.97,1,70.75,"Month-to-Month","Fiber Optic","No","No"
"0129-KPTWJ",0.74,35,102.35,"One Year","Fiber Optic","No","No"
"0129-QMPDR",0.906666666666667,30,85,"Month-to-Month","Fiber Optic","No","No"
"0130-SXOUN",0.943333333333333,15,75.65,"Month-to-Month","Fiber Optic","No","No"
"0133-BMFZO",0.87,55,85.45,"Month-to-Month","Fiber Optic","No","No"
"0134-XWXCE",0.733333333333333,9,95.5,"Month-to-Month","Fiber Optic","No","No"
"0135-NMXAP",0.686666666666667,69,78.6,"One Year","DSL","Yes","Yes"
"0136-IFMYD",0.71,5,25.9,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0137-OCGAB",0.96,27,95.55,"Month-to-Month","Fiber Optic","No","No"
"0137-UDEUO",0.683333333333333,8,49.85,"Month-to-Month","Cable","Yes","No"
"0139-IVFJG",0.75,62,100.15,"Month-to-Month","Fiber Optic","No","No"
"0141-YEAYS",0.79,14,46.35,"Month-to-Month","DSL","No","No"
"0142-GVYSN",0.63,20,89,"Month-to-Month","Fiber Optic","No","No"
"0147-ESWWR",0.973333333333333,1,25.25,"Month-to-Month","DSL","No","No"
"0148-DCDOS",0.956666666666667,1,25.05,"Month-to-Month","Cable","No","No"
"0151-ONTOV",0.68,64,47.85,"Two Year","DSL","Yes","Yes"
"0156-FVPTA",0.753333333333333,49,75.2,"Month-to-Month","Fiber Optic","No","No"
"0164-APGRB",0.77,28,74.9,"Month-to-Month","Fiber Optic","Yes","No"
"0164-XAIRP",0.643333333333333,22,67.5,"One Year","Cable","Yes","Yes"
"0168-XZKBB",0.97,2,76.5,"Month-to-Month","Fiber Optic","No","No"
"0174-QRVVY",0.733333333333333,67,102.95,"Month-to-Month","Fiber Optic","Yes","No"
"0177-PXBAT",0.77,47,80.35,"Month-to-Month","Fiber Optic","Yes","No"
"0178-CIIKR",0.836666666666667,21,104.4,"Month-to-Month","Fiber Optic","No","No"
"0178-SZBHO",0.98,7,98.05,"Month-to-Month","Fiber Optic","No","No"
"0181-RITDD",0.923333333333333,1,25.8,"Month-to-Month","DSL","No","No"
"0186-CAERR",0.996666666666667,1,69.25,"Month-to-Month","Fiber Optic","No","No"
"0187-QSXOE",0.733333333333333,15,101.1,"Month-to-Month","Fiber Optic","No","No"
"0187-WZNAB",0.603333333333333,1,95,"Month-to-Month","Cable","Yes","No"
"0188-GWFLE",0.926666666666667,2,70.75,"Month-to-Month","Fiber Optic","No","No"
"0191-EQUUH",0.636666666666667,65,72.45,"One Year","Cable","Yes","No"
"0191-ZHSKZ",0.82,13,83.2,"Month-to-Month","Fiber Optic","No","No"
"0193-ESZXP",0.746666666666667,46,110,"One Year","Fiber Optic","Yes","No"
"0195-IESCP",0.926666666666667,4,85.65,"Month-to-Month","Fiber Optic","No","No"
"0196-JTUQI",0.903333333333333,9,74.55,"Month-to-Month","Fiber Optic","No","No"
"0196-VULGZ",0.923333333333333,4,74.9,"Month-to-Month","Fiber Optic","No","No"
"0197-PNKNK",0.993333333333333,1,74.45,"Month-to-Month","Fiber Optic","No","No"
"0201-MIBOL",0.936666666666667,9,79.9,"Month-to-Month","Fiber Optic","No","No"
"0201-OAMXR",0.81,24,55.65,"Month-to-Month","DSL","Yes","No"
"0203-HHYIJ",0.69,4,50.05,"Month-to-Month","Cable","No","Yes"
"0206-OYVOC",0.983333333333333,1,82.3,"Month-to-Month","Fiber Optic","No","No"
"0206-TBWLC",0.84,2,25.05,"Month-to-Month","Cable","No","No"
"0207-MDKNV",0.73,70,109.5,"One Year","Fiber Optic","Yes","Yes"
"0208-BPQEJ",0.7,13,45.3,"Month-to-Month","DSL","No","No"
"0212-ISBBF",0.773333333333333,2,95.85,"Month-to-Month","Fiber Optic","No","No"
"0214-JHPFW",0.883333333333333,3,88.35,"Month-to-Month","Fiber Optic","No","Yes"
"0215-BQKGS",0.786666666666667,9,34.7,"Month-to-Month","DSL","No","No"
"0218-QNVAS",0.896666666666667,9,100.5,"Month-to-Month","Fiber Optic","No","No"
"0219-QAERP",0.716666666666667,16,39,"Month-to-Month","DSL","No","No"
"0219-YTZUE",0.776666666666667,3,55.1,"Month-to-Month","Cable","Yes","Yes"
"0220-EBGCE",0.943333333333333,1,70.85,"Month-to-Month","Fiber Optic","No","No"
"0221-NAUXK",0.943333333333333,27,81.45,"Month-to-Month","Fiber Optic","No","No"
"0221-WMXNQ",0.83,2,34.7,"Month-to-Month","DSL","No","No"
"0222-CNVPT",0.61,52,49.15,"Month-to-Month","DSL","No","No"
"0224-HJAPT",0.863333333333333,1,35.55,"Month-to-Month","DSL","No","No"
"0224-NIJLP",0.793333333333333,53,85.45,"Month-to-Month","Fiber Optic","No","No"
"0224-RLWWD",0.66,5,53.85,"Month-to-Month","Cable","Yes","Yes"
"0225-ZORZP",0.833333333333333,13,102.25,"Month-to-Month","Fiber Optic","No","No"
"0228-MAUWC",0.926666666666667,9,79.55,"Month-to-Month","Fiber Optic","No","No"
"0229-LFJAF",0.953333333333333,10,84.6,"Month-to-Month","Fiber Optic","No","No"
"0230-UBYPQ",0.883333333333333,5,85.4,"Month-to-Month","Fiber Optic","No","Yes"
"0230-WEQUW",0.79,54,103.95,"One Year","Fiber Optic","Yes","No"
"0231-LXVAP",0.88,4,101.15,"Month-to-Month","Fiber Optic","No","No"
"0233-FTHAV",0.63,2,19.5,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0234-TEVTT",0.66,27,101.25,"Month-to-Month","Fiber Optic","Yes","No"
"0235-KGSLC",0.943333333333333,1,45.7,"Month-to-Month","DSL","No","No"
"0236-HFWSV",0.91,11,99.5,"Month-to-Month","Fiber Optic","No","No"
"0237-YFUTL",0.623333333333333,72,104.15,"Two Year","Fiber Optic","No","No"
"0238-WHBIQ",0.843333333333333,3,83.75,"Month-to-Month","Fiber Optic","No","No"
"0239-OXEXL",0.926666666666667,3,75.25,"Month-to-Month","Fiber Optic","No","No"
"0244-LGNFY",0.816666666666667,7,74.65,"Month-to-Month","Fiber Optic","No","No"
"0247-SLUJI",0.783333333333333,35,100.25,"Month-to-Month","Fiber Optic","No","No"
"0248-IPDFW",0.91,10,80.7,"Month-to-Month","Fiber Optic","No","No"
"0248-PGHBZ",0.736666666666667,58,98.7,"Month-to-Month","Fiber Optic","No","No"
"0253-ZTEOB",0.846666666666667,7,80.3,"Month-to-Month","Fiber Optic","No","No"
"0254-FNMCI",0.97,20,73.65,"Month-to-Month","Fiber Optic","No","No"
"0254-KCJGT",0.64,13,98.15,"Month-to-Month","Fiber Optic","Yes","No"
"0254-WWRKD",0.753333333333333,32,96.2,"Month-to-Month","Fiber Optic","No","Yes"
"0256-LTHVJ",0.923333333333333,1,70.8,"Month-to-Month","Fiber Optic","No","No"
"0257-KXZGU",0.896666666666667,1,89.55,"Month-to-Month","Cable","No","No"
"0257-ZESQC",0.786666666666667,18,49.4,"Month-to-Month","DSL","Yes","No"
"0258-NOKBL",0.826666666666667,1,20.1,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0259-GBZSH",0.896666666666667,5,96.5,"Month-to-Month","Fiber Optic","No","No"
"0260-ZDLGK",0.903333333333333,1,-4,"Month-to-Month","DSL","No","No"
"0263-FJTQO",0.646666666666667,11,-7,"Month-to-Month","Fiber Optic","No","No"
"0264-CNITK",0.7,30,101.5,"Month-to-Month","Fiber Optic","No","Yes"
"0265-EDXBD",0.673333333333333,1,19.55,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0265-PSUAE",0.973333333333333,1,70.85,"Month-to-Month","Fiber Optic","No","No"
"0266-CLZKZ",0.716666666666667,41,70.25,"Month-to-Month","Fiber Optic","No","No"
"0266-GMEAO",0.923333333333333,1,69.9,"Month-to-Month","Fiber Optic","No","No"
"0268-QKIWO",0.983333333333333,1,85.05,"Month-to-Month","Fiber Optic","No","No"
"0269-XFESX",0.973333333333333,16,98.75,"Month-to-Month","Fiber Optic","No","No"
"0270-THENM",0.773333333333333,1,-7,"Month-to-Month","Fiber Optic","No","No"
"0274-JKUJR",0.896666666666667,1,69.1,"Month-to-Month","Fiber Optic","No","No"
"0277-BKSQP",0.616666666666667,17,76.65,"Month-to-Month","Fiber Optic","No","No"
"0277-ORXQS",0.893333333333333,47,95.05,"Month-to-Month","Fiber Optic","No","Yes"
"0278-YXOOG",0.786666666666667,15,89.85,"Month-to-Month","Fiber Optic","No","No"
"0280-XJGEX",0.756666666666667,14,105.95,"One Year","Fiber Optic","Yes","Yes"
"0281-CNTZX",0.706666666666667,16,53.9,"Month-to-Month","DSL","No","Yes"
"0282-NVSJS",0.866666666666667,1,70.65,"Month-to-Month","Fiber Optic","No","No"
"0285-INHLN",0.803333333333333,2,29.85,"Month-to-Month","Cable","No","Yes"
"0289-IVARM",0.73,2,85.7,"Month-to-Month","Fiber Optic","No","No"
"0292-WEGCH",0.663333333333333,67,108.75,"Two Year","Fiber Optic","Yes","Yes"
"0295-PPHDO",0.986666666666667,1,74.95,"Month-to-Month","Fiber Optic","No","No"
"0295-QVKPB",0.936666666666667,10,79.95,"Month-to-Month","Fiber Optic","No","No"
"0297-RBCSG",0.71,38,83.9,"Month-to-Month","Fiber Optic","Yes","No"
"0298-XACET",0.916666666666667,13,91.1,"Month-to-Month","Fiber Optic","No","No"
"0301-FIDRB",0.826666666666667,7,73.6,"Month-to-Month","Fiber Optic","No","No"
"0301-KOBTQ",0.89,6,49.65,"Month-to-Month","DSL","No","Yes"
"0302-JOIVN",0.756666666666667,16,78.75,"Month-to-Month","Fiber Optic","No","No"
"0303-UNCIP",0.776666666666667,2,49.6,"Month-to-Month","Cable","No","No"
"0303-WMMRN",0.703333333333333,50,105.95,"Month-to-Month","Fiber Optic","Yes","No"
"0305-SQECB",0.966666666666667,14,90.45,"Month-to-Month","Fiber Optic","No","No"
"0306-JAELE",0.803333333333333,1,20.1,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0307-BCOPK",0.986666666666667,31,99.95,"Month-to-Month","Fiber Optic","No","No"
"0308-GIQJT",0.783333333333333,4,54.3,"Month-to-Month","DSL","No","No"
"0308-IVGOK",0.856666666666667,9,75.75,"Month-to-Month","Fiber Optic","No","No"
"0310-MVLET",0.64,68,96.55,"One Year","Fiber Optic","Yes","No"
"0310-SUCIN",0.976666666666667,16,85.35,"Month-to-Month","Fiber Optic","No","No"
"0310-VQXAM",0.806666666666667,12,43.65,"Month-to-Month","DSL","No","Yes"
"0311-QYWSS",0.95,4,88.85,"Month-to-Month","Fiber Optic","No","No"
"0311-UNPFF",0.8,1,79.9,"Month-to-Month","Fiber Optic","No","No"
"0314-TKOSI",0.93,2,78.55,"Month-to-Month","Fiber Optic","No","No"
"0315-LVCRK",0.63,24,89.55,"Month-to-Month","Fiber Optic","No","No"
"0318-QUUOB",0.68,21,106.1,"Month-to-Month","Fiber Optic","No","Yes"
"0318-ZOPWS",0.723333333333333,53,98.4,"Month-to-Month","Fiber Optic","No","No"
"0319-QZTCO",0.9,1,24.25,"Month-to-Month","DSL","No","No"
"0320-DWVTU",0.82,10,86.05,"Month-to-Month","Fiber Optic","No","No"
"0320-JDNQG",0.723333333333333,63,103.4,"Month-to-Month","Fiber Optic","No","No"
"0322-CHQRU",0.946666666666667,1,70.3,"Month-to-Month","Fiber Optic","No","No"
"0322-YINQP",0.686666666666667,11,66.35,"Month-to-Month","DSL","No","Yes"
"0323-XWWTN",0.98,4,94.3,"Month-to-Month","Fiber Optic","No","No"
"0324-BRPCJ",0.69,7,20.05,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0325-XBFAC",0.906666666666667,3,91.05,"Month-to-Month","Fiber Optic","No","No"
"0326-VDYXE",0.613333333333333,11,-3,"Month-to-Month","DSL","No","No"
"0327-WFZSY",0.906666666666667,3,105.9,"Month-to-Month","Fiber Optic","No","No"
"0328-GRPMV",0.963333333333333,1,89.3,"Month-to-Month","Fiber Optic","No","No"
"0329-GTIAJ",0.646666666666667,1,19,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0330-BGYZE",0.706666666666667,11,74.55,"Month-to-Month","Fiber Optic","No","No"
"0330-IVZHA",0.713333333333333,29,30.6,"Month-to-Month","DSL","No","No"
"0334-GDDSO",0.933333333333333,1,69.15,"Month-to-Month","Fiber Optic","No","No"
"0334-ZFJSR",0.673333333333333,57,95.25,"Two Year","Fiber Optic","No","No"
"0336-KXKFK",0.946666666666667,1,80,"Month-to-Month","Cable","No","No"
"0336-PIKEI",0.736666666666667,3,19.8,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0337-CNPZE",0.856666666666667,10,98.5,"Month-to-Month","Fiber Optic","No","Yes"
"0343-QLUZP",0.696666666666667,56,73.85,"Month-to-Month","Fiber Optic","No","No"
"0345-HKJVM",0.913333333333333,1,75.1,"Month-to-Month","Fiber Optic","No","No"
"0345-XMMUG",0.863333333333333,1,89.1,"Month-to-Month","Fiber Optic","No","No"
"0347-UBKUZ",0.94,10,98.5,"Month-to-Month","Fiber Optic","No","No"
"0348-SDKOL",0.62,7,74.9,"Month-to-Month","Fiber Optic","No","No"
"0354-VXMJC",0.78,28,94.5,"Month-to-Month","Fiber Optic","Yes","No"
"0354-WYROK",0.763333333333333,1,20.2,"Month-to-Month","No Internet Service","No Internet Service","No Internet Service"
"0356-ERHVT",0.946666666666667,1,25.7,"Month-to-Month","Cable","No","No"
"0356-OBMAC",0.733333333333333,2,45.85,"Month-to-Month","Cable","No","No"
"0357-NVCRI",0.77,58,106.45,"One Year","Fiber Optic","Yes","No"
"0361-HJRDX",0.72,9,74.65,"Month-to-Month","DSL","Yes","No"
"0362-RAOQO",0.8,7,89.75,"Month-to-Month","Fiber Optic","No","Yes"
"0362-ZBZWJ",0.656666666666667,52,96.25,"Two Year","Fiber Optic","No","Yes"
"0363-QJVFX",0.71,1,62.05,"Month-to-Month","DSL","No","Yes"
"0363-SVHYR",0.643333333333333,70,114.2,"Two Year","Fiber Optic","Yes","Yes"
"0365-BZUWY",0.91,13,82,"Month-to-Month","Fiber Optic","No","No"
"0365-GXEZS",0.876666666666667,4,84.05,"Month-to-Month","Fiber Optic","No","No"
"0365-TRTPY",0.866666666666667,5,78.75,"Month-to-Month","Fiber Optic","No","No"
"0366-NQSHS",0.74,12,99.95,"Month-to-Month","Fiber Optic","No","Yes"
"0369-ZGOVK",0.95,7,90.45,"Month-to-Month","Fiber Optic","No","No"
"0373-AIVNJ",0.84,1,60.1,"Month-to-Month","Cable","No","Yes"
"0374-AACSZ",0.866666666666667,12,112.95,"Month-to-Month","Cable","No","Yes"
"0374-FIUCA",0.743333333333333,17,51.5,"Month-to-Month","Cable","No","Yes"
"0374-IOEGQ",0.843333333333333,66,99.5,"Month-to-Month","Fiber Optic","No","No"
"0375-HVGXO",0.796666666666667,3,45.35,"Month-to-Month","DSL","No","No"
"0376-OIWME",0.696666666666667,51,80,"Month-to-Month","Fiber Optic","No","No"
"0376-YMCJC",0.65,35,75.35,"Month-to-Month","Fiber Optic","No","No"
"0377-JBKKT",0.893333333333333,26,95,"Month-to-Month","Fiber Optic","Yes","No"
"0378-CJKPV",0.823333333333333,4,75.35,"Month-to-Month","Fiber Optic","No","No"
"0378-NHQXU",0.666666666666667,1,45.15,"Month-to-Month","DSL","No","No"
"0378-TOVMS",0.96,2,75.9,"Month-to-Month","Fiber Optic","No","No"
"0378-XSZPU",0.996666666666667,5,89.8,"Month-to-Month","Fiber Optic","No","No"
"0379-DJQHR",0.78,10,84.7,"Month-to-Month","Fiber Optic","Yes","No"
"0380-NEAVX",0.626666666666667,68,83,"One Year","Fiber Optic","No","No"
"0380-ZCSBI",0.953333333333333,20,94.55,"Month-to-Month","Fiber Optic","No","No"
"0383-CLDDA",0.656666666666667,33,93.8,"One Year","Fiber Optic","No","No"
"0384-LPITE",0.836666666666667,1,49.65,"Month-to-Month","DSL","No","No"
"0384-RVBPI",0.793333333333333,34,78.3,"Month-to-Month","Fiber Optic","No","No"
"0386-CWRGM",0.61,12,59.8,"One Year","Cable","No","Yes"
"0388-EOPEX",0.953333333333333,9,80.85,"Month-to-Month","Fiber Optic","No","No"
"0390-DCFDQ",0.783333333333333,42,101.75,"Month-to-Month","Fiber Optic","No","No"
"0392-BZIUW",0.956666666666667,5,89.5,"Month-to-Month","Fiber Optic","No","No"
"0394-YONDK",0.76,54,109.75,"Two Year","Fiber Optic","Yes","Yes"
"0396-HUJBP",0.856666666666667,4,93.5,"Month-to-Month","Fiber Optic","No","Yes"
"0396-UKGAI",0.863333333333333,47,70.55,"Month-to-Month","Fiber Optic","No","No"
"0396-YCHWO",0.903333333333333,1,35.25,"Month-to-Month","DSL","No","No"
"0397-GZBBC",0.64,9,55.35,"Month-to-Month","DSL","No","No"
"0397-ZXWQF",0.986666666666667,1,79.55,"Month-to-Month","Fiber Optic","No","No"
"0401-WDBXM",0.963333333333333,1,25.2,"Month-to-Month","Cable","No","No"
"0402-CQAJN",0.976666666666667,29,95.9,"Month-to-Month","Fiber Optic","No","No"
"0402-OAMEN",0.893333333333333,17,89.15,"Month-to-Month","Fiber Optic","No","No"
"0404-AHASP",0.98,1,69.55,"Month-to-Month","Fiber Optic","No","No"
"0404-SWRVG",0.97,1,74.2,"Month-to-Month","Fiber Optic","No","No"
"0406-BPDVR",0.69,50,103.7,"Month-to-Month","Fiber Optic","No","Yes"
"0407-BDJKB",0.966666666666667,1,70.15,"Month-to-Month","Fiber Optic","No","No"
"0409-WTMPL",0.92,1,70,"Month-to-Month","Fiber Optic","No","No"
"0410-IPFTY",0.843333333333333,40,39.3,"Month-to-Month","Cable","No","No"
"0411-EZJZE",0.676666666666667,1,74.6,"Month-to-Month","Fiber Optic","No","No"
"0412-UCCNP",0.933333333333333,41,98.4,"Month-to-Month","Fiber Optic","No","No"
"0415-MOSGF",0.9,11,74.35,"Month-to-Month","Fiber Optic","No","No"
"0419-YAAPX",0.783333333333333,12,80.85,"Month-to-Month","Fiber Optic","Yes","Yes"
"0420-BWTPW",0.733333333333333,2,104.4,"Month-to-Month","Fiber Optic","No","Yes"
"0420-HLGXF",0.896666666666667,20,90.8,"Month-to-Month","Fiber Optic","No","No"
"0420-TXVSG",0.856666666666667,22,89.25,"Month-to-Month","Fiber Optic","No","No"
"0422-OHQHQ",0.683333333333333,48,106.1,"One Year","Fiber Optic","No","No"
"0422-UXFAP",0.87,22,89.4,"Month-to-Month","Fiber Optic","No","No"
"0423-UDIJQ",0.94,10,72.85,"Month-to-Month","Fiber Optic","No","No"
"0426-TIRNE",0.936666666666667,1,70.5,"Month-to-Month","Fiber Optic","No","No"
"0428-AXXLJ",0.646666666666667,13,79.25,"Month-to-Month","Fiber Optic","No","No"
"0428-IKYCP",0.75,7,86.5,"Month-to-Month","Fiber Optic","No","No"
"0430-IHCDJ",0.87,1,45.3,"Month-to-Month","DSL","No","No"
"0431-APWVY",0.876666666666667,14,78.95,"Month-to-Month","Fiber Optic","No","No"
"0432-CAJZV",0.783333333333333,16,89.05,"Month-to-Month","Fiber Optic","No","Yes"
"0434-CSFON",0.953333333333333,1,46,"Month-to-Month","DSL","No","No"
"0436-TWFFZ",0.953333333333333,1,73,"Month-to-Month","Fiber Optic","No","No"
"0439-IFYUN",0.943333333333333,3,75.05,"Month-to-Month","Fiber Optic","No","No"
"0440-EKDCF",0.883333333333333,2,79.75,"Month-to-Month","Fiber Optic","No","No"
"0440-MOGPM",0.703333333333333,70,109.5,"One Year","Fiber Optic","No","Yes"
"0440-QEXBZ",0.973333333333333,27,75.5,"Month-to-Month","Fiber Optic","No","No"
"0440-UEDAI",0.826666666666667,66,99.5,"Month-to-Month","Cable","No","No"
"0442-TDYUO",0.963333333333333,1,81.95,"Month-to-Month","Fiber Optic","No","No"
"0442-ZXKVS",0.763333333333333,18,33.5,"Month-to-Month","DSL","No","No"
"0447-BEMNG",0.883333333333333,11,99.55,"Month-to-Month","Fiber Optic","No","No"
"0447-RXSGD",0.996666666666667,1,84.3,"Month-to-Month","Fiber Optic","No","No"
"0454-OKRCT",0.98,1,74.6,"Month-to-Month","Fiber Optic","No","No"
"0455-ENTCR",0.616666666666667,7,79.3,"Month-to-Month","Fiber Optic","No","No"
"0455-XFASS",0.883333333333333,12,106.7,"Month-to-Month","Fiber Optic","No","No"
"0458-HEUZG",0.76,43,49.05,"Month-to-Month","DSL","No","No"
"0459-SPZHJ",0.91,24,102.95,"Month-to-Month","Fiber Optic","No","No"
"0461-CVKMU",0.9,2,90.4,"Month-to-Month","Fiber Optic","No","No"
"0463-TXOAK",0.923333333333333,38,94.65,"Month-to-Month","Fiber Optic","No","No"
